ICD10CM:A48    ['MESH:D007877', 'MESH:D012772']
ICD10CM:G31    ['MESH:D002549', 'MESH:D020774', 'MESH:D020961', 'MESH:D019636', 'MESH:D007888']
ICD10CM:G37    ['MESH:D000326', 'MESH:D002549']
ICD10CM:G40    ['MESH:D004827', 'MESH:D018887']
ICD10CM:G43    ['MESH:D020326', 'MESH:D008881']
ICD10CM:G47    ['MESH:D012891', 'MESH:D020181', 'MESH:D009290']
ICD10CM:G60    ['MESH:D012035', 'MESH:D052919', 'MESH:D015417', 'MESH:D002607']
ICD10CM:G70    ['MESH:D009157', 'MESH:D009468']
ICD10CM:G71    ['MESH:D020967', 'MESH:D020391', 'MESH:D009136', 'MESH:D049310', 'MESH:D039141', 'MESH:C535686', 'MESH:D049288', 'MESH:C565375', 'MESH:C535683', 'MESH:D020512', 'MESH:D009223']
ICD10CM:G72    ['MESH:D020513', 'MESH:D020514', 'MESH:C536962', 'MESH:D018979', 'MESH:D009135', 'MESH:D009220']
ICD10CM:G82    ['MESH:D011782', 'MESH:D010264']
ICD10CM:G98    ['MESH:C536589', 'MESH:D009422']
ICD10CM:H04    ['MESH:D015352', 'MESH:D007766']
ICD10CM:H16    ['MESH:D016510', 'MESH:D007634', 'MESH:D003320']
ICD10CM:H18    ['MESH:D003317', 'MESH:C566452', 'MESH:C562745', 'MESH:C535477', 'MESH:D053559', 'MESH:D003316', 'MESH:D007640', 'MESH:C536156']
ICD10CM:H20    ['MESH:D014607', 'MESH:D014605']
ICD10CM:H30    ['MESH:D012173', 'MESH:D014607']
ICD10CM:H33    ['MESH:D012163', 'MESH:D041441']
ICD10CM:H35    ['MESH:D057826', 'MESH:C535602', 'MESH:C538365', 'MESH:D012174', 'MESH:C562733', 'MESH:D008268', 'MESH:D012178', 'MESH:D012164', 'MESH:D058456']
ICD10CM:H40    ['MESH:D005902', 'MESH:D005901', 'MESH:D009798']
ICD10CM:H47    ['MESH:C535970', 'MESH:D018917', 'MESH:D009901', 'MESH:D009896', 'MESH:D029242']
ICD10CM:H49    ['MESH:D017246', 'MESH:D007625']
ICD10CM:H52    ['MESH:D009216', 'MESH:D015858', 'MESH:D012030']
ICD10CM:H53    ['MESH:C537743', 'MESH:D003117', 'MESH:D009755']
ICD10CM:H55    ['MESH:D009759', 'MESH:D020417']
ICD10CM:I21    ['MESH:D009203', 'MESH:D003328']
ICD10CM:I22    ['MESH:D009203', 'MESH:D003328']
ICD10CM:I25    ['MESH:D050197', 'MESH:D017202', 'MESH:D003327', 'MESH:D003324', 'MESH:D003323']
ICD10CM:I42    ['MESH:D009202', 'MESH:D002312', 'MESH:D024741', 'MESH:D002311', 'MESH:D002310', 'MESH:D002313']
ICD10CM:I45    ['MESH:D008133', 'MESH:D029597', 'MESH:D014927']
ICD10CM:I49    ['MESH:D053840', 'MESH:D012804']
ICD10CM:I51    ['MESH:D009202', 'MESH:D006331', 'MESH:D009205']
ICD10CM:I63    ['MESH:D002544', 'MESH:D002561', 'MESH:D020521']
ICD10CM:I67    ['MESH:D002561', 'MESH:D020521']
ICD10CM:I70    ['MESH:D050197', 'MESH:D001161']
ICD10CM:I71    ['MESH:D001014', 'MESH:D001019']
ICD10CM:I72    ['MESH:D000783', 'MESH:D014652']
ICD10CM:I73    ['MESH:D011928', 'MESH:D004916']
ICD10CM:J12    ['MESH:D011024', 'MESH:D045169']
ICD10CM:J67    ['MESH:D011009', 'MESH:D000542']
ICD10CM:J84    ['MESH:D011658', 'MESH:D054990', 'MESH:C562405', 'MESH:D017563']
ICD10CM:K00    ['MESH:D000848', 'MESH:D000567', 'MESH:D003811']
ICD10CM:K05    ['MESH:D010520', 'MESH:D010510', 'MESH:D010518']
ICD10CM:K20    ['MESH:D004941', 'MESH:D057765']
ICD10CM:K22    ['MESH:D004935', 'MESH:D004931', 'MESH:D001471']
ICD10CM:K52    ['MESH:D003092', 'MESH:D005759', 'MESH:D007079']
ICD10CM:K59    ['MESH:D008531', 'MESH:D003248']
ICD10CM:K70    ['MESH:D008104', 'MESH:D005234', 'MESH:D005235']
ICD10CM:K73    ['MESH:D006505', 'MESH:D006521']
ICD10CM:K74    ['MESH:D008105', 'MESH:D008103']
ICD10CM:K76    ['MESH:D006504', 'MESH:D006975', 'MESH:D006530', 'MESH:D003324', 'MESH:D003327', 'MESH:D017202', 'MESH:D008107', 'MESH:D010382']
ICD10CM:K83    ['MESH:D002779', 'MESH:D015209', 'MESH:D002761']
ICD10CM:L12    ['MESH:D010390', 'MESH:D010391']
ICD10CM:L40    ['MESH:D011565', 'MESH:D015535']
ICD10CM:M04    ['MESH:D054078', 'MESH:D010505']
ICD10CM:M10    ['MESH:D006073', 'MESH:D015210']
ICD10CM:M19    ['MESH:D007592', 'MESH:D001168']
ICD10CM:M31    ['MESH:D011697', 'MESH:D014890', 'MESH:D013625']
ICD10CM:M35    ['MESH:D012859', 'MESH:D001528', 'MESH:D010201']
ICD10CM:M89    ['MESH:D001847', 'MESH:D010004', 'MESH:D015576', 'MESH:D006958']
ICD10CM:N04    ['MESH:C535761', 'MESH:D009402', 'MESH:D009404']
ICD10CM:N05    ['MESH:D005921', 'MESH:D009393']
ICD10CM:N08    ['MESH:D005921', 'MESH:D009393', 'MESH:D007674']
ICD10CM:N12    ['MESH:D009395', 'MESH:D011704']
ICD10CM:N13    ['MESH:D006869', 'MESH:D014718']
ICD10CM:N19    ['MESH:D051437', 'MESH:D014511']
ICD10CM:N25    ['MESH:D018500', 'MESH:D000141']
ICD10CM:N30    ['MESH:D018856', 'MESH:D003556']
ICD10CM:N32    ['MESH:D001748', 'MESH:D001745']
ICD10CM:N46    ['MESH:D007248', 'MESH:D053713', 'MESH:D009845']
ICD10CM:O01    ['MESH:D006828', 'MESH:D031901']
ICD10CM:O20    ['MESH:D000033', 'MESH:D000037']
ICD10CM:O43    ['MESH:D010922', 'MESH:D011248']
ICD10CM:Q04    ['MESH:D054082', 'MESH:D065708', 'MESH:D016142']
ICD10CM:Q05    ['MESH:D008591', 'MESH:D016135']
ICD10CM:Q13    ['MESH:C537884', 'MESH:D003103', 'MESH:D015783']
ICD10CM:Q21    ['MESH:D006345', 'MESH:D006343', 'MESH:D006344', 'MESH:D013771']
ICD10CM:Q23    ['MESH:D008944', 'MESH:D018636']
ICD10CM:Q24    ['MESH:D006330', 'MESH:D003914']
ICD10CM:Q25    ['MESH:D004374', 'MESH:D021921']
ICD10CM:Q44    ['MESH:D001656', 'MESH:D015529', 'MESH:D016738']
ICD10CM:Q61    ['MESH:D017044', 'MESH:D007690']
ICD10CM:Q69    ['MESH:C562429', 'MESH:D017689']
ICD10CM:Q74    ['MESH:C538189', 'MESH:D002973']
ICD10CM:Q75    ['MESH:D003394', 'MESH:D003398', 'MESH:D008342']
ICD10CM:Q77    ['MESH:C562937', 'MESH:D000130', 'MESH:D004613', 'MESH:D013796', 'MESH:C536170']
ICD10CM:Q78    ['MESH:D010013', 'MESH:D010022', 'MESH:D010026', 'MESH:D005357', 'MESH:D005359', 'MESH:D005097', 'MESH:D010009', 'MESH:D004687', 'MESH:D003966']
ICD10CM:Q79    ['MESH:D006554', 'MESH:D011535', 'MESH:D004535']
ICD10CM:Q80    ['MESH:D016114', 'MESH:D016112', 'MESH:D017488']
ICD10CM:Q81    ['MESH:D004820', 'MESH:D016110', 'MESH:D016108']
ICD10CM:Q82    ['MESH:D014983', 'MESH:D016506', 'MESH:D011038', 'MESH:D003483', 'MESH:D007184', 'MESH:D008415']
ICD10CM:Q85    ['MESH:D014402', 'MESH:D006623', 'MESH:D010580', 'MESH:C536641', 'MESH:D009456', 'MESH:D016518', 'MESH:D017253']
ICD10CM:Q87    ['MESH:C567416', 'MESH:C536079', 'MESH:C537734', 'MESH:D009958', 'MESH:D010855', 'MESH:D058497', 'MESH:C536940', 'MESH:D012415', 'MESH:C535326', 'MESH:C536534', 'MESH:D009261', 'MESH:D058495', 'MESH:D001506', 'MESH:C536399', 'MESH:D056730', 'MESH:D009634', 'MESH:D011218', 'MESH:D003635', 'MESH:C535331', 'MESH:D003057', 'MESH:D008382', 'MESH:D020788']
ICD10CM:Q93    ['MESH:D054877', 'MESH:D054221', 'MESH:D058496', 'MESH:D017204', 'MESH:D003410', 'MESH:D004062']
ICD10CM:R41    ['MESH:D000647', 'MESH:D000648']
ICD10CM:R73    ['MESH:D018149', 'MESH:D006943']
ICD10CM:T78    ['MESH:D006967', 'MESH:D000799']
