ICD10CM:B20	ICD10CM:B55	0.03922	1
ICD10CM:E16	ICD10CM:E71	0.06452	1
ICD10CM:E16	ICD10CM:E78	0.16667	1
ICD10CM:E16	ICD10CM:E83	0.04082	1
ICD10CM:E16	ICD10CM:E88	0.11475	1
ICD10CM:E20	ICD10CM:E28	0.00667	1
ICD10CM:E20	ICD10CM:E34	0.11111	1
ICD10CM:E20	ICD10CM:E83	0.02041	1
ICD10CM:E22	ICD10CM:E23	0.16667	1
ICD10CM:E22	ICD10CM:E28	0.00667	1
ICD10CM:E23	ICD10CM:E24	0.08333	1
ICD10CM:E23	ICD10CM:E26	0.08333	1
ICD10CM:E23	ICD10CM:E28	0.00667	1
ICD10CM:E24	ICD10CM:E26	0.66667	1
ICD10CM:E24	ICD10CM:E75	0.02941	1
ICD10CM:E24	ICD10CM:E88	0.01639	1
ICD10CM:E28	ICD10CM:E34	0.01333	1
ICD10CM:E28	ICD10CM:E83	0.00667	1
ICD10CM:E28	ICD10CM:E88	0.01333	1
ICD10CM:E34	ICD10CM:E88	0.01639	1
ICD10CM:E71	ICD10CM:E83	0.02041	1
ICD10CM:E71	ICD10CM:E88	0.04918	1
ICD10CM:E72	ICD10CM:E83	0.04082	1
ICD10CM:E72	ICD10CM:E88	0.03279	1
ICD10CM:E74	ICD10CM:E75	0.02941	1
ICD10CM:E75	ICD10CM:E76	0.02941	1
ICD10CM:E75	ICD10CM:E83	0.02041	1
ICD10CM:E75	ICD10CM:E88	0.01639	1
ICD10CM:E78	ICD10CM:E83	0.02041	1
ICD10CM:E78	ICD10CM:E88	0.04918	1
ICD10CM:E80	ICD10CM:E83	0.02041	1
ICD10CM:E83	ICD10CM:E88	0.01639	1
ICD10CM:F20	ICD10CM:F34	0.08383	1
ICD10CM:F20	ICD10CM:F41	0.05389	1
ICD10CM:F20	ICD10CM:F48	0.08383	1
ICD10CM:F20	ICD10CM:F50	0.01198	1
ICD10CM:F20	ICD10CM:F60	0.01796	1
ICD10CM:F20	ICD10CM:F63	0.01198	1
ICD10CM:F20	ICD10CM:F80	0.01198	1
ICD10CM:F20	ICD10CM:F81	0.01796	1
ICD10CM:F20	ICD10CM:F84	0.11250	1
ICD10CM:F20	ICD10CM:F95	0.01796	1
ICD10CM:F34	ICD10CM:F41	0.26829	1
ICD10CM:F34	ICD10CM:F48	1.00000	1
ICD10CM:F34	ICD10CM:F50	0.02439	1
ICD10CM:F34	ICD10CM:F60	0.02439	1
ICD10CM:F34	ICD10CM:F81	0.02439	1
ICD10CM:F34	ICD10CM:F84	0.05417	1
ICD10CM:F41	ICD10CM:F48	0.26829	1
ICD10CM:F41	ICD10CM:F60	0.04878	1
ICD10CM:F41	ICD10CM:F63	0.02439	1
ICD10CM:F41	ICD10CM:F80	0.02439	1
ICD10CM:F41	ICD10CM:F81	0.07317	1
ICD10CM:F41	ICD10CM:F84	0.04583	1
ICD10CM:F41	ICD10CM:F95	0.02439	1
ICD10CM:F48	ICD10CM:F50	0.02439	1
ICD10CM:F48	ICD10CM:F60	0.02439	1
ICD10CM:F48	ICD10CM:F81	0.02439	1
ICD10CM:F48	ICD10CM:F84	0.05417	1
ICD10CM:F50	ICD10CM:F84	0.00833	1
ICD10CM:F60	ICD10CM:F63	0.60000	1
ICD10CM:F60	ICD10CM:F80	0.20000	1
ICD10CM:F60	ICD10CM:F84	0.01250	1
ICD10CM:F60	ICD10CM:F95	0.20000	1
ICD10CM:F63	ICD10CM:F80	0.33333	1
ICD10CM:F63	ICD10CM:F84	0.00417	1
ICD10CM:F63	ICD10CM:F95	0.20000	1
ICD10CM:F80	ICD10CM:F84	0.00417	1
ICD10CM:F81	ICD10CM:F84	0.02083	1
ICD10CM:F84	ICD10CM:F95	0.00417	1
ICD10CM:G03	ICD10CM:G31	0.01333	1
ICD10CM:G03	ICD10CM:G40	0.01695	1
ICD10CM:G03	ICD10CM:G72	0.02778	1
ICD10CM:G11	ICD10CM:G12	0.02941	1
ICD10CM:G11	ICD10CM:G98	0.01786	1
ICD10CM:G12	ICD10CM:G23	0.02941	1
ICD10CM:G12	ICD10CM:G31	0.05333	1
ICD10CM:G12	ICD10CM:G37	0.02941	1
ICD10CM:G12	ICD10CM:G40	0.03390	1
ICD10CM:G12	ICD10CM:G60	0.02941	1
ICD10CM:G12	ICD10CM:G98	0.07143	1
ICD10CM:G23	ICD10CM:G31	0.02667	1
ICD10CM:G24	ICD10CM:G40	0.01695	1
ICD10CM:G24	ICD10CM:G43	0.04167	1
ICD10CM:G24	ICD10CM:G98	0.03571	1
ICD10CM:G25	ICD10CM:G40	0.01695	1
ICD10CM:G25	ICD10CM:G70	0.12500	1
ICD10CM:G31	ICD10CM:G37	0.04000	1
ICD10CM:G31	ICD10CM:G40	0.02667	1
ICD10CM:G31	ICD10CM:G71	0.01333	1
ICD10CM:G31	ICD10CM:G72	0.01333	1
ICD10CM:G31	ICD10CM:G98	0.05333	1
ICD10CM:G37	ICD10CM:G40	0.01695	1
ICD10CM:G37	ICD10CM:G60	0.06667	1
ICD10CM:G40	ICD10CM:G70	0.01695	1
ICD10CM:G40	ICD10CM:G72	0.01695	1
ICD10CM:G40	ICD10CM:G98	0.10169	1
ICD10CM:G43	ICD10CM:G47	0.07692	1
ICD10CM:G47	ICD10CM:G71	0.03030	1
ICD10CM:G47	ICD10CM:G98	0.01786	1
ICD10CM:G60	ICD10CM:G82	0.06667	1
ICD10CM:G71	ICD10CM:G72	0.05556	1
ICD10CM:G71	ICD10CM:G98	0.01786	1
ICD10CM:G72	ICD10CM:G98	0.01786	1
ICD10CM:H04	ICD10CM:H52	0.07143	1
ICD10CM:H16	ICD10CM:H20	0.10000	1
ICD10CM:H16	ICD10CM:H35	0.01205	1
ICD10CM:H18	ICD10CM:H35	0.01205	1
ICD10CM:H20	ICD10CM:H30	0.10000	1
ICD10CM:H20	ICD10CM:H33	0.10000	1
ICD10CM:H20	ICD10CM:H35	0.03614	1
ICD10CM:H20	ICD10CM:H47	0.05263	1
ICD10CM:H20	ICD10CM:H49	0.10000	1
ICD10CM:H20	ICD10CM:H53	0.10000	1
ICD10CM:H30	ICD10CM:H33	0.10000	1
ICD10CM:H30	ICD10CM:H35	0.01205	1
ICD10CM:H30	ICD10CM:H47	0.05263	1
ICD10CM:H33	ICD10CM:H35	0.02410	1
ICD10CM:H33	ICD10CM:H47	0.05263	1
ICD10CM:H33	ICD10CM:H52	0.07143	1
ICD10CM:H35	ICD10CM:H47	0.04819	1
ICD10CM:H35	ICD10CM:H52	0.02410	1
ICD10CM:H35	ICD10CM:H53	0.03614	1
ICD10CM:H35	ICD10CM:H55	0.02410	1
ICD10CM:H47	ICD10CM:H49	0.10526	1
ICD10CM:H53	ICD10CM:H55	0.16667	1
ICD10CM:I21	ICD10CM:I22	1.00000	1
ICD10CM:I21	ICD10CM:I25	0.09455	1
ICD10CM:I21	ICD10CM:I42	0.15044	1
ICD10CM:I21	ICD10CM:I51	0.10526	1
ICD10CM:I21	ICD10CM:I63	0.17978	1
ICD10CM:I21	ICD10CM:I67	0.16854	1
ICD10CM:I21	ICD10CM:I70	0.13483	1
ICD10CM:I21	ICD10CM:I71	0.03371	1
ICD10CM:I21	ICD10CM:I72	0.03371	1
ICD10CM:I21	ICD10CM:I73	0.01124	1
ICD10CM:I22	ICD10CM:I25	0.09455	1
ICD10CM:I22	ICD10CM:I42	0.15044	1
ICD10CM:I22	ICD10CM:I51	0.10526	1
ICD10CM:I22	ICD10CM:I63	0.17978	1
ICD10CM:I22	ICD10CM:I67	0.16854	1
ICD10CM:I22	ICD10CM:I70	0.13483	1
ICD10CM:I22	ICD10CM:I71	0.03371	1
ICD10CM:I22	ICD10CM:I72	0.03371	1
ICD10CM:I22	ICD10CM:I73	0.01124	1
ICD10CM:I25	ICD10CM:I42	0.08727	1
ICD10CM:I25	ICD10CM:I45	0.00364	1
ICD10CM:I25	ICD10CM:I49	0.00364	1
ICD10CM:I25	ICD10CM:I51	0.08727	1
ICD10CM:I25	ICD10CM:I63	0.06909	1
ICD10CM:I25	ICD10CM:I67	0.06182	1
ICD10CM:I25	ICD10CM:I70	0.19636	1
ICD10CM:I25	ICD10CM:I71	0.00727	1
ICD10CM:I25	ICD10CM:I72	0.03273	1
ICD10CM:I25	ICD10CM:I73	0.00364	1
ICD10CM:I42	ICD10CM:I45	0.00885	1
ICD10CM:I42	ICD10CM:I49	0.02655	1
ICD10CM:I42	ICD10CM:I51	0.62281	1
ICD10CM:I42	ICD10CM:I63	0.05310	1
ICD10CM:I42	ICD10CM:I67	0.05310	1
ICD10CM:I42	ICD10CM:I70	0.07080	1
ICD10CM:I42	ICD10CM:I71	0.00885	1
ICD10CM:I42	ICD10CM:I72	0.03540	1
ICD10CM:I45	ICD10CM:I49	0.20000	1
ICD10CM:I45	ICD10CM:I51	0.00877	1
ICD10CM:I49	ICD10CM:I51	0.00877	1
ICD10CM:I51	ICD10CM:I63	0.06140	1
ICD10CM:I51	ICD10CM:I67	0.06140	1
ICD10CM:I51	ICD10CM:I70	0.10526	1
ICD10CM:I51	ICD10CM:I71	0.00877	1
ICD10CM:I51	ICD10CM:I72	0.05263	1
ICD10CM:I63	ICD10CM:I67	0.85366	1
ICD10CM:I63	ICD10CM:I70	0.17857	1
ICD10CM:I63	ICD10CM:I71	0.02439	1
ICD10CM:I63	ICD10CM:I72	0.07317	1
ICD10CM:I67	ICD10CM:I70	0.14286	1
ICD10CM:I67	ICD10CM:I71	0.02857	1
ICD10CM:I67	ICD10CM:I72	0.08571	1
ICD10CM:I70	ICD10CM:I71	0.01786	1
ICD10CM:I70	ICD10CM:I72	0.07143	1
ICD10CM:I70	ICD10CM:I73	0.01786	1
ICD10CM:I71	ICD10CM:I72	0.05882	1
ICD10CM:J67	ICD10CM:J84	0.02667	1
ICD10CM:K05	ICD10CM:K59	0.16667	1
ICD10CM:K05	ICD10CM:K70	0.01075	1
ICD10CM:K05	ICD10CM:K76	0.01613	1
ICD10CM:K05	ICD10CM:K83	0.00862	1
ICD10CM:K20	ICD10CM:K22	0.06250	1
ICD10CM:K20	ICD10CM:K70	0.01075	1
ICD10CM:K20	ICD10CM:K76	0.00323	1
ICD10CM:K22	ICD10CM:K52	0.07692	1
ICD10CM:K22	ICD10CM:K70	0.03226	1
ICD10CM:K22	ICD10CM:K73	0.02857	1
ICD10CM:K22	ICD10CM:K74	0.00769	1
ICD10CM:K22	ICD10CM:K76	0.00645	1
ICD10CM:K22	ICD10CM:K83	0.01724	1
ICD10CM:K52	ICD10CM:K59	0.03846	1
ICD10CM:K52	ICD10CM:K70	0.05376	1
ICD10CM:K52	ICD10CM:K73	0.05714	1
ICD10CM:K52	ICD10CM:K74	0.00769	1
ICD10CM:K52	ICD10CM:K76	0.02903	1
ICD10CM:K52	ICD10CM:K83	0.04310	1
ICD10CM:K59	ICD10CM:K70	0.02151	1
ICD10CM:K59	ICD10CM:K76	0.00968	1
ICD10CM:K59	ICD10CM:K83	0.01724	1
ICD10CM:K70	ICD10CM:K73	0.09677	1
ICD10CM:K70	ICD10CM:K74	0.08462	1
ICD10CM:K70	ICD10CM:K76	0.04194	1
ICD10CM:K70	ICD10CM:K83	0.09483	1
ICD10CM:K73	ICD10CM:K74	0.07692	1
ICD10CM:K73	ICD10CM:K76	0.01935	1
ICD10CM:K73	ICD10CM:K83	0.01724	1
ICD10CM:K74	ICD10CM:K76	0.07097	1
ICD10CM:K74	ICD10CM:K83	0.10000	1
ICD10CM:K76	ICD10CM:K83	0.06129	1
ICD10CM:L12	ICD10CM:L40	0.01587	1
ICD10CM:N04	ICD10CM:N05	0.07895	1
ICD10CM:N04	ICD10CM:N08	0.04839	1
ICD10CM:N04	ICD10CM:N12	0.04348	1
ICD10CM:N04	ICD10CM:N19	0.03226	1
ICD10CM:N04	ICD10CM:N46	0.03704	1
ICD10CM:N05	ICD10CM:N08	0.30645	1
ICD10CM:N05	ICD10CM:N12	0.13158	1
ICD10CM:N05	ICD10CM:N19	0.07895	1
ICD10CM:N05	ICD10CM:N30	0.05263	1
ICD10CM:N05	ICD10CM:N46	0.03704	1
ICD10CM:N08	ICD10CM:N12	0.04032	1
ICD10CM:N08	ICD10CM:N13	0.00806	1
ICD10CM:N08	ICD10CM:N19	0.07258	1
ICD10CM:N08	ICD10CM:N30	0.01613	1
ICD10CM:N08	ICD10CM:N32	0.00806	1
ICD10CM:N08	ICD10CM:N46	0.04839	1
ICD10CM:N12	ICD10CM:N30	0.09091	1
ICD10CM:N12	ICD10CM:N46	0.01852	1
ICD10CM:N13	ICD10CM:N32	0.16667	1
ICD10CM:N19	ICD10CM:N32	0.03226	1
ICD10CM:N19	ICD10CM:N46	0.03704	1
ICD10CM:Q05	ICD10CM:Q24	0.02632	1
ICD10CM:Q05	ICD10CM:Q75	0.06667	1
ICD10CM:Q05	ICD10CM:Q87	0.02985	1
ICD10CM:Q13	ICD10CM:Q24	0.02632	1
ICD10CM:Q21	ICD10CM:Q24	0.07895	1
ICD10CM:Q21	ICD10CM:Q44	0.05882	1
ICD10CM:Q21	ICD10CM:Q79	0.05882	1
ICD10CM:Q21	ICD10CM:Q87	0.01493	1
ICD10CM:Q21	ICD10CM:Q93	0.04167	1
ICD10CM:Q24	ICD10CM:Q44	0.02632	1
ICD10CM:Q24	ICD10CM:Q78	0.02632	1
ICD10CM:Q24	ICD10CM:Q87	0.01493	1
ICD10CM:Q24	ICD10CM:Q93	0.02632	1
ICD10CM:Q25	ICD10CM:Q82	0.10000	1
ICD10CM:Q44	ICD10CM:Q61	0.36364	1
ICD10CM:Q61	ICD10CM:Q69	0.09091	1
ICD10CM:Q78	ICD10CM:Q87	0.01493	1
ICD10CM:Q79	ICD10CM:Q82	0.10000	1
ICD10CM:Q79	ICD10CM:Q87	0.01493	1
